n	m	jnm_deri
16	24	96.846042
38	15	96.90212
23	21	97.001649
14	25	97.160409
33	17	97.226601
41	14	97.245227
28	19	97.252758
56	9	97.256004
75	4	97.319171
63	7	97.388453
12	26	97.430922
21	22	97.470377
44	13	97.484683
80	3	97.49398
53	10	97.51145
47	12	97.614403
50	11	97.626633
10	27	97.658441
67	6	97.687169
71	5	97.690478
94	1	97.692052
36	16	97.74569
86	2	97.821475
26	20	97.836637
8	28	97.84367
19	23	97.891816
31	18	97.934159
6	29	97.98717
60	8	97.997405
4	30	98.08937
2	31	98.15057
39	15	98.170149
0	31	98.170951
17	24	98.267422
24	21	98.369719
76	4	98.403103
57	9	98.426002
42	14	98.4962
64	7	98.52519
34	17	98.526626
81	3	98.558246
29	19	98.585987
15	25	98.59844
54	10	98.697343
95	1	98.704994
45	13	98.718994
72	5	98.792443
68	6	98.806621
51	11	98.828484
48	12	98.832365
22	22	98.854002
87	2	98.863724
13	26	98.885932
37	16	99.027958
11	27	99.13079
61	8	99.15006
27	20	99.184812
32	18	99.248694
20	23	99.291209
9	28	99.333756
40	15	99.43519
77	4	99.486364
7	29	99.49543
58	9	99.594406
5	30	99.616282
82	3	99.622018
65	7	99.660721
18	24	99.682824
3	31	99.696661
96	1	99.717845
25	21	99.732981
1	32	99.736793
43	14	99.744463
35	17	99.823138
55	10	99.881446
73	5	99.893568
88	2	99.905663
30	19	99.915105
69	6	99.925054
46	13	99.950851
52	11	100.02834
16	25	100.03012
49	12	100.04811
23	22	100.23252
62	8	100.30134
38	16	100.30703
14	26	100.3342
28	20	100.52861
33	18	100.55949
78	4	100.56897
12	27	100.59598
21	23	100.68518
83	3	100.68531
41	15	100.69733
97	1	100.73061
59	9	100.76125
66	7	100.79507
10	28	100.81624
89	2	100.9473
44	14	100.99009
74	5	100.99387
8	29	100.99561
70	6	101.04249
56	10	101.0638
26	21	101.0916
19	24	101.09247
36	17	101.11624
6	30	101.13461
47	13	101.18032
53	11	101.22625
4	31	101.23362
31	19	101.24024
50	12	101.2617
2	32	101.29291
0	32	101.31266
63	8	101.45127
17	25	101.4557
39	16	101.58301
24	22	101.6061
79	4	101.65093
98	1	101.74328
84	3	101.74812
15	26	101.77599
34	18	101.86665
29	20	101.86818
60	9	101.92658
67	7	101.92827
42	15	101.95665
90	2	101.98863
13	27	102.05429
22	23	102.07391
75	5	102.09337
71	6	102.15896
45	14	102.23316
57	10	102.24446
11	28	102.29142
37	17	102.40604
48	13	102.40746
54	11	102.42226
27	21	102.44572
51	12	102.47318
9	29	102.48804
20	24	102.49656
32	19	102.56152
64	8	102.59988
7	30	102.6447
80	4	102.73225
99	1	102.75587
5	31	102.76183
85	3	102.81047
3	32	102.83975
40	16	102.85597
18	25	102.87539
1	33	102.87865
25	22	102.97492
91	2	103.02968
68	7	103.06034
61	9	103.09042
35	18	103.17029
76	5	103.19207
30	20	103.20366
16	26	103.21153
43	15	103.21322
72	6	103.27447
58	10	103.42345
23	23	103.45759
46	14	103.47373
14	27	103.50599
55	11	103.61642
49	13	103.63234
52	12	103.68261
38	17	103.69263
65	8	103.74721
12	28	103.75959
100	1	103.76838
28	21	103.79549
81	4	103.81296
86	3	103.87235
33	19	103.87905
21	24	103.8953
10	29	103.97304
92	2	104.07043
41	16	104.126
8	30	104.14692
69	7	104.1913
62	9	104.25281
6	31	104.28169
19	25	104.2894
77	5	104.29
26	22	104.33913
4	32	104.3777
73	6	104.38904
2	33	104.43521
0	33	104.45437
44	15	104.46713
36	18	104.47052
31	20	104.53516
59	10	104.60082
17	26	104.64107
47	14	104.71187
101	1	104.7808
56	11	104.80877
24	23	104.83639
50	13	104.85501
53	12	104.89005
82	4	104.89306
66	8	104.89328
87	3	104.93379
15	27	104.95132
39	17	104.9761
93	2	105.1109
29	21	105.14105
34	19	105.19296
13	28	105.22102
22	24	105.28886
70	7	105.32119
78	5	105.38717
42	16	105.39319
63	9	105.41378
11	29	105.4509
74	6	105.5027
9	30	105.64157
20	25	105.69794
27	22	105.69887
45	15	105.71844
37	18	105.76743
60	10	105.77659
7	31	105.79352
32	20	105.86281
5	32	105.90715
48	14	105.94764
83	4	105.97256
3	33	105.98275
88	3	105.99479
57	11	105.99936
1	34	106.0205
67	8	106.03812
18	26	106.06481
51	13	106.07553
54	12	106.09552
94	2	106.1511
25	23	106.21046
40	17	106.25654
16	27	106.39052
71	7	106.45001
30	21	106.48254
79	5	106.4836
35	19	106.50335
64	9	106.57336
75	6	106.61546
43	16	106.6576
14	28	106.67596
23	24	106.67743
12	29	106.92189
61	10	106.95082
46	15	106.96721
84	4	107.05148
28	22	107.0543
89	3	107.05536
38	18	107.06112
21	25	107.10119
10	30	107.12894
49	14	107.18111
68	8	107.18175
33	20	107.18672
58	11	107.18823
95	2	107.19102
52	13	107.29395
8	31	107.29765
55	12	107.2991
6	32	107.42845
19	26	107.48296
4	33	107.52164
41	17	107.53402
2	34	107.57747
72	7	107.5778
80	5	107.5793
26	23	107.57996
0	34	107.59606
76	6	107.72734
65	9	107.73158
36	19	107.81031
31	21	107.82006
17	27	107.82381
44	16	107.91931
24	24	108.06116
90	3	108.1155
62	10	108.12353
15	28	108.12465
